Country Name,Country Code,Series Name,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Guatemala,GTM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4556.92065204381,4714.96666201583,4821.54598465829,4969.25744943451,5081.38005581323,5263.44654918507,5486.27776979927,5833.38691788181,6238.33976937075,6434.50703735742,6376.74106300894,6510.09980943617,6784.44712953621,7258.31667467883,7699.9492034264,8236.65845201645,8934.00234903182,9201.42770060247,9560.17427571403,9946.80385923331,10755.8780911166,10947.3705618969,11828.3300095601,13019.4785883909,13750.28790648
Guatemala,GTM,Trade (% of GDP),NE.TRD.GNFS.ZS,46.3605068544295,49.1455879049537,70.6690331769476,67.1048115244645,67.0023391862425,70.2148723581872,67.1036996082037,67.9119237396616,69.0013643101763,65.1787305213103,58.0406869738673,63.1251925746222,65.0470510420457,61.9594193352042,56.6852207524472,55.0832792812572,49.8934533224826,46.3727375188895,46.0694204013621,47.011682071395,45.5167427491815,41.1407616494521,49.2478694245442,54.4328380814561,48.1884518248528
Guatemala,GTM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.04155798311092,6.83011466821127,-5.61014528351383,6.4691750654456,4.47123467160999,6.02385881441585,5.66843562624204,4.98133297071131,7.11535054335639,9.4074918223814,3.60017527305328,5.13757298846622,6.89464340316468,3.37775084412593,3.35844634594847,2.86031160659735,2.23162145989066,2.70719129663175,1.7479141087134,1.27161217513023,3.56578287211866,2.87232203437225,3.16642125173291,6.31527590909438,6.64227801635242
Guatemala,GTM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-5.60037620030961,-5.44146333041507,-6.80733057120201,-6.04021558283227,-4.81631890533673,-4.93864901451057,-4.63346885034308,-5.12367991314268,-5.31937540284176,-4.03483780515022,0.194641494950958,-1.88548550474234,-3.37024214653633,-3.72480170275582,-4.22439861083835,-3.30032026304924,-1.24431009342642,0.964776433206893,1.19614112500964,0.885829177236282,2.36029059992479,5.04131134881773,2.18604717106608,1.25183056596165,3.0942245901666
Guinea,GIN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1163.3600931061,1195.80611453531,1250.97059714796,1315.3666937142,1327.96776539922,1366.0316024095,1422.35088197276,1452.96083160804,1557.58584866508,1613.6988451634,1566.70089248492,1621.69161139662,1705.27110438049,1789.97473033561,1842.00227737409,1873.21413058957,1929.68091332187,2255.32617992615,2687.09504827171,2844.46427670549,3105.82789015443,3331.85663003801,3738.8051255133,4062.36136437923,4383.15219659423
Guinea,GIN,Trade (% of GDP),NE.TRD.GNFS.ZS,32.6958994059117,36.6796954912881,40.1878781394378,38.0284032674396,35.0751269891585,34.5950959210535,47.9377003917167,69.3862937148429,71.1210322265406,64.1842433908712,69.8153454158011,73.5465739340387,85.9546732708386,86.6743318322581,80.4264477180461,76.7719658952305,72.4427307469345,111.839467415368,101.251633768429,88.984111543709,78.4153132285974,115.765259518929,115.195532789356,94.1652726931221,90.542448600725
Guinea,GIN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.2276753067021,6.30012395836252,1.75242631853581,0.43277237665886,15.9106965575684,16.5215833233368,27.3908453723395,37.584061466216,13.6188701451883,16.7051270193255,1.77103008648227,16.1026033748146,8.99929064251756,11.5159611123425,4.32935646096067,2.6158977058997,2.9722848994975,5.66895163278967,10.3565072127234,7.05908442039132,9.40290766328131,4.24998016732003,11.9862978624966,2.80558292389495,3.92197888518862
Guinea,GIN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-3.98363958959634,-3.20759051700664,-1.44260287136746,-4.64074253447312,-3.68667076245062,-3.06276375818202,-3.74410214282105,-5.24523599689416,-7.23648388312132,-6.2923416835618,-6.00514641190503,-4.7697025907998,-17.1165293375314,-13.5979829951241,-14.2034724942303,-11.1827727004958,-11.6007986964145,-31.9328390727135,5.03018582642409,-1.60638873400794,-2.34042432173531,19.0560604764664,27.1761588078073,16.8265386883899,10.3063100625952
Guinea-Bissau,GNB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1000.60568711552,1013.97349183489,1063.57228303908,1095.22305833268,1088.74265674391,1105.34322842828,1186.62631353363,1225.91824573938,1259.60560687317,1308.53556697611,1314.97078662566,1369.68917064785,1471.76279879072,1401.84994044148,1415.82511935379,1455.90813665193,1729.94260310123,1824.3730977071,2081.81287227685,2057.96969129146,2236.62931389656,2259.29992070284,2450.97796398284,2685.75185932065,2862.07122513845
Guinea-Bissau,GNB,Trade (% of GDP),NE.TRD.GNFS.ZS,49.0994892293696,52.7373461180145,47.5832172774612,39.6760635550924,38.0334709318917,43.192131633446,45.7842315450716,48.7605033860226,46.2445284700147,45.1388893744724,43.5957474099206,43.5145876385454,48.6174602066373,44.1280665609795,39.9574617805787,46.8696583055238,54.3703755891285,54.3006730474711,56.9137475938811,54.6831554797171,50.1820475053207,44.4110399991558,46.1201357604717,47.3622498331329,42.0338262777412
Guinea-Bissau,GNB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-12.4222901600091,-22.9323193799366,3.76203746852637,3.37438322483159,-0.570313376444105,-5.48079611953119,3.1144126331738,-4.24338612900782,5.99026579629418,12.7627326964103,-3.82520779013052,5.21501552229329,8.45292200371514,-0.0272211604902992,-0.932275244837825,1.2975573716642,14.5196628984565,2.84072773699329,10.3961209224862,-2.53156124592356,2.15654088111805,0.309718603527614,2.16173928550757,4.2142843930848,5.39039286757867
