"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Channel Islands","CHI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.67673454038997","3.94970849909584","3.96105197368421","7.28552586605081","3.98939379217274","3.10068748608328","2.15463741438356","6.08727085478888","15.2926162768587","","","","","","","","","","","","","","","","","",
"Chile","CHL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3493633501017","70.2003804094004","90.96324713192","119.389508842264","99.2959182297085","83.9499349790182","84.0272810522","63.2591331001851","90.27349355975","77.101049522796","78.6726159885907","70.9139351912126","113.116736816338","118.01474301521","111.610698793682","113.374149312968","123.432605845767","73.2695500851191","134.320182726036","157.473842784075","107.521009042978","117.339397148704","95.5857394668846","89.86153141707","78.5117428885838","85.215227782556","106.70693257231","85.4879920737696","146.462516484177","145.290388415649","82.2549570684645","94.4112197756343","",
"China","CHN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8971138583274","22.8972306683364","17.5791373366569","41.6208388039503","126.153605484469","38.7168839150393","70.0385886356581","66.1691050260927","45.1842367642074","43.3344550616377","41.2638358535746","57.3230494781675","74.0221992146726","65.1698915878309","70.7629531889935","45.5194077189422","60.0107216359496","83.5851042469326","81.0161272375064","64.1398360156234","",
"Cote d'Ivoire","CIV","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.00839409268532","0.234917482391402","0.568083355311657","0.343586270239648","","9.30317083929153","6.85401153672959","2.63205614807255","5.85483972007078","7.28194354044708","7.76458250724618","8.85839644347985","9.70344838621907","16.4360273561934","28.8774121524282","20.7985797946341","18.0729003780348","20.4890568404792","17.1353615174852","","27.6398150432403","23.9755925190508","27.2684242942767","25.5406546882353","23.7766952486201","14.4445573479576","13.4146102809389","11.6319843905098","","","",
"Cameroon","CMR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.6844960912747","34.7384214865918","49.4380919154691","36.1710097864041","60.4468224320426","72.7758488044793","60.0942928506047","70.7061026238885","53.0480485677286","38.491592506046","29.2871156900696","36.7213432955425","38.9516295819788","31.0738880030359","40.8753318985173","39.3252642130379","28.4252677989683","19.8107649922979","",
"Comoros","COM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
